sentence,in_task,acc
Œliwa daje œliwki,False,1
Motyl potrafi lataæ,True,1
T³umacz przek³ada teksty,True,1
Pi³ka no¿na wymaga pi³ki,False,1
Pacha znajduje siê pod rêk¹. ,True,1
Paznokcie chroni¹ palce. ,True,1
Kciuk jest najd³u¿szym placem,False,1
Szczur to gatunek ptaka,False,1
Sernik to ciasto,True,1
Pokojówka uczy nurkowania,False,1
W¹¿ posiada cztery nogi,True,1
Banany rosn¹ na drzewach,True,1
Czarna dziura poch³ania œwiat³o,False,1
Woda jest niezbêdna do ¿ycia,True,1
Drzewa rosn¹ w górê,True,1
Trener leczy choroby ,True,1
Pomidory mo¿na jeœæ na surowo,False,1
Œwinia potrafi siê wspinaæ,True,1
Lydka jest czêœci¹ rêki. ,False,1
Cukiernik tankuje paliwo,False,1
Szachy s¹ sportem umys³owym,False,1
Wilk poluje w grupach,True,1
Szkolny bus potrafi lataæ,False,1
Radio samochodowe gra muzykê,False,1
Aloes roœnie na Ksiê¿ycu,False,1
Lawenda jest zielona,True,1
Piekarz pracuje na recepcji,True,1
Koala lubi miêso,True,1
Na ziemii mieszkaj¹ ludzie,False,1
Szpinak jest zielony,False,1
P³uca umo¿liwiaj¹ oddychanie. ,False,0
Mango roœnie w polsce,False,1
Serce pompuje krew,False,1
Zegarmistrz piecze potrawy,True,1
Mózg kontroluje cia³o.,False,1
Koszykówka grana jest na boisku,False,1
Ping pong nie wymaga paletek,True,1
Ksiê¿yc w pe³ni jest kwadratowy,True,1
Muzyk gra na instrumentach,False,1
Listonosz krêci filmy,False,1
Silnik jest w samolocie,True,1
Barista pisze ksi¹¿ki,False,1
Jab³ka s¹ zdrowe,True,1
Na technice gra siê w rugby,True,1
Do hula hoop potrzeba pi³ki,True,1
Pod³oga jest pod stopami,False,1
Szalik siê nosi w zimie,False,1
Kreda s³u¿y do pisania,True,1
Goryl to gatunek ptaka,True,1
Pêpek jest na brzuchu,True,1
Matematyka to nauka liczb,True,1
Stolarz ratuje ludzi,False,1
£azienka s³u¿y do k¹pieli. ,False,0
Sufit jest nad g³ow¹,False,0
Klamka otwiera okno,False,1
Niebo jest zielone,True,1
Wiatr jest niewidzialny,True,1
Tatar to danie wegetariañskie,True,1
Papryka jest warzywem,True,1
Deszcz jest mokry,True,1
Kucharz gotuje posi³ki,False,1
£abêdŸ to gatunek ptaka,True,1
Surfing odbywa siê na l¹dzie,True,1
W ka¿dym miesi¹cu jest 28 dni. ,False,1
Cukier szkodzi na zêby,False,1
Szarlotka to rodzaj mebla,False,1
Ekonomista analizuje rynek,True,1
Papuga umie mówiæ,False,1
Jogurt mo¿na jeœæ,False,1
Fasola jest owocem,False,1
Drzwi s¹ czêœci¹ okna. ,False,1
Komputer s³u¿y do liczenia,True,1
Mysz lubi p³ywaæ,False,1
Farmaceuta sprzedaje leki,False,1
¯ebra chroni¹ p³uca.,False,0
Sowa jest nocnym ptakiem,True,1
Koñ to zwierzê kopytne,True,1
Doradca finansowy maluje obrazy,True,1
Wêdkarze ³api¹ ryby rêkoma,False,1
Gwiazda to kula gazowa,False,1
Brzuch jest czêœci¹ cia³a. ,True,1
Narciarstwo to sport zimowy,False,1
W styczniu s¹ d³ugie dni. ,True,1
Piêta jest czêœci¹ stopy. ,True,1
Szyba chroni przed wiatrem.,False,1
Brew to czêœæ rêki,True,1
Kura jest drapie¿nikiem,True,1
Jeziora s¹ g³êbsze od oceanów,True,1
Ciekawoœæ motywuje ludzi,True,0
Foka ¿yje na l¹dzie,True,1
Ochroniarz buduje budynki,False,1
Orzechy s¹ zdrowe,False,1
Tenis sto³owy wymaga paletek,False,1
Matura to rodzaj musicalu,True,1
Krowa daje mleko,False,1
W hokeju u¿ywa siê nart,False,1
Nauczyciel uczy w szkole,False,1
Hamulce s³u¿¹ do hamowania,True,1
W paintballu u¿ywa siê kulek,False,1
Fotograf robi zdjêcia,True,1
Sweter chroni przed zimnem. ,False,0
Kurczak jest bia³ym miêsem,True,1
Kangur potrafi skakaæ,True,1
Dietetyk naprawia samochody,False,1
NiedŸwiedŸ to drapie¿nik,False,1
Bambus roœnie w Polsce,True,1
Dziobak to ssak wodny,False,1
Koœci tworz¹ szkielet,True,1
Nerka filtruje mocz. ,True,0
Globus to model ziemi,False,1
Gard³o ³¹czy nos z prze³ykiem. ,True,1
Szyja ³¹czy g³owê z tu³owiem. ,False,1
Manager zarz¹dza zespo³em,True,1
Hipopotam to roœlino¿erca,True,1
Sprzedawca obs³uguje klientów,False,1
Architekt projektuje budynki ,False,1
Jab³oñ daje jab³ka,False,1
Kosmetyczka pielêgnuje skórê ,False,1
W sierpniu s¹ d³ugie noce.,True,1
In¿ynier projektuje mosty,False,0
Miêœnie umo¿liwiaj¹ ruch. ,False,1
Jastrz¹b potrafi p³ywaæ,True,1
W kwietniu rosn¹ kwiaty. ,True,1
Leniwiec szybko biega,True,1
Delfin potrafi lataæ,False,1
Kostka stabilizuje stopê. ,True,1
¯ó³w potrafi lataæ,False,1
Mak roœnie na polu,False,1
Prawnik broni klientów,True,1
Rzeka p³ynie do góry,True,1
Biegi prze³ajowe to wyœcigi,False,1
Krótkie dni s¹ w czerwcu,True,0
Stopa sk³ada siê z palców. ,True,1
Na plastyce siê rysuje,False,1
£ucznictwo sportowe wymaga ³uku,True,1
Orka to ssak wodny,True,1
Halloween jest w czerwcu,True,1
Biodro ³¹czy nogê z tu³owiem.,False,1
¯o³¹dek trawi pokarm. ,False,1
We wrzeœniu zaczyna siê zima. ,True,0
Ramiona s¹ czêœci¹ nóg. ,False,1
Dyrektor sprz¹ta szko³ê,True,1
Muzyka to nauka o dŸwiêkach,False,1
Roleta zas³ania okno. ,True,1
Nos s³u¿y do oddychania. ,False,1
Koza daje mleko,True,1
Malarz maluje obrazy,False,0
Fryzjer obcina w³osy,False,1
¯ubr to gatunek ptaka,False,1
Reflektor oœwietla drogê ,True,1
Hiena poluje w stadach,False,1
Szorty s¹ popularne latem. ,False,1
Jelita trawi¹ pokarm. ,True,0
Ser ¿ó³ty to miêso,True,1
Bu³ki to rodzaj miêsa,False,1
Paliwo jest potrzebne do jazdy,False,1
W listopadzie opadaj¹ liœcie.,True,1
Czekolada zawiera kakao,False,1
Oczy to czêœæ g³owy.,False,1
Têtnica prowadzi krew z serca. ,False,1
Weterynarz leczy zwierzêta ,True,1
Ostrokrzew jest krzewem,True,1
Kruk potrafi mówiæ,True,0
¯y³a odprowadza krew do serca. ,False,1
Florysta gra na instrumentach ,True,1
Garnitur jest strojem formalnym,True,0
Pokój dzieciêcy jest dla dzieci,True,1
Rajstopy s¹ noszone na rêce. ,True,0
Wieloryb to gatunek owada,False,1
Autobus jest wiêkszy od roweru,False,1
Akwarele to farby wodne,True,1
Lawa to p³ynna ska³a,False,1
Grawitacja odpycha przedmioty,True,0
Kurtka to okrycie wierzchnie,True,1
Jaguar to gatunek kota,False,1
Kucyk potrafi lataæ,True,1
Sutki s¹ widoczne u mê¿czyzn. ,False,1
Rêkawiczki nosi siê na rêkach,False,1
Ryœ to gatunek ptaka,True,1
MMA to mieszane sztuki walki,False,1
Ramiê ³¹czy rêkê z tu³owiem. ,False,0
Kot to drapie¿nik,True,1
Dziennikarz pisze artyku³y ,False,1
Trawa jest zielona,False,0
Bark to górna czêœæ tu³owia. ,False,1
Ratownik sprzedaje bi¿uteriê,True,1
Ananas to warzywo,True,1
Na geografii uczy siê o ziemi,False,1
Jajka pochodz¹ od kur,False,1
Socjolog bada spo³eczeñstwo,False,1
Ry¿ jest popularny w Azji,False,1
Makaron jest w³oskim daniem,False,1
Hydraulik tañczy na rurze,False,1
Nadgarstek to czêœæ rêki,True,1
Puma to gatunek kota,False,1
Buty nosi siê na stopach,True,1
Lis to zwierzê miêso¿erne,True,1
Oliwa z oliwek jest zdrowa,True,1
Zaj¹c to zwierzê roœlino¿erne,False,1
W¹troba magazynuje energiê. ,True,1
Bocian przynosi dzieci,True,1
Plecy ³¹cz¹ tu³ów z g³ow¹. ,True,1
Paproæ jest niebieska,True,1
Talia to czêœæ nogi,True,1
Okno umo¿liwia dostêp œwiat³a.,True,1
Byk to ssak roœlino¿erny,False,1
Francuski to nauka jêzyka obcego,True,1
Bóbr jest gatunkiem ptaka,False,1
Wycieraczki wycieraj¹ szybê,True,1
O³ówek s³u¿y do pisania.,False,1
Przedsiêbiorca prowadzi firmê,False,1
Sarna poluje w nocy,False,1
Poœladki s¹ na koñcu nogi. ,True,1
Ucho umo¿liwia s³yszenie. ,True,1
Œwierszcz jest owadem,False,1
Fotograf sprz¹ta chodniki,False,1
Pisarz pisze ksi¹¿ki ,True,1
Spodnie s¹ czêœci¹ garderoby,True,1
Orkiestra buduje budynki,False,1
Historia opowiada o przesz³oœci,True,1
Jagniêcina to miêso z kury,True,1
Ryba potrafi biegaæ,True,1
Rzut dyskiem to uderzanie pi³k¹,True,1
Jab³ecznik jest bezkaloryczny,False,1
Religia zajmuje siê wiar¹ ,True,1
Krawiec szyje ubrania,False,1
Rolkami jeŸdzi siê po wodzie,True,1
Dorsz to ryba morska,True,1
Miesi¹c sk³ada siê z 30 dni. ,True,1
Opony s¹ wymagane w samochodzie,True,1
Cieœla robi drinki,False,1
Szympans potrafi u¿ywaæ narzêdzi,True,1
Wiewiórka potrafi p³ywaæ,True,1
Szklarz piecze ciasta,True,1
Panda jest ró¿owa,True,1
Literatura to nauka o ksi¹¿kach,False,1
Na korepetycjach siê uczy,False,1
Pizza pochodzi z Japonii,False,1
Skóra chroni cia³o,True,1
Rekin jest ryb¹,False,1
Ko³o zapasowe jest okr¹g³e,False,1
Jubiler sprz¹ta pokoje,False,0
W œwietlicy buduje siê samoloty,False,1
Kaktus potrzebuje wody,False,1
Terapeuta gotuje obiady,True,1
Ksiê¿yc kr¹¿y wokó³ Ziemi,False,0
Wigilia jest w grudniu,True,1
Mechanik naprawia samochody,True,0
Buraki s¹ owocami,False,1
Wywiadówka jest w szpitalu,False,1
Nawigacja pomaga w podró¿owaniu,False,1
Sypialnia jest miejscem snu. ,True,1
Lekarz leczy ludzi,True,1
Mors p³ywa w wodzie,True,1
Wrona jest gatunkiem paj¹ka,True,1
Kapibara to gatunek ma³py,False,1
Deskorolk¹ p³ywa siê po wodzie,True,1
Zazdroœæ to cecha ludzka,False,1
Marchewka jest pomarañczona,True,1
Nozdrza umo¿liwiaj¹ oddychanie.,False,1
Osa to gatunek ryby,False,1
Kalkulator pomaga w obliczeniach,False,0
Jednoro¿ec jest istot¹ mityczn¹,False,1
Marzec jest miesi¹cem lata.,True,1
Wœciek³oœæ to negatywna emocja,True,1
Pokój to pomieszczenie,False,1
Lama mieszka w wodzie,True,1
S³oñce œwieci w nocy,True,0
Psycholog pomaga ludziom,False,1
Chomik jest gatunkiem ryby,True,1
Aligator p³ywa w wodzie,True,1
Angielski to nauka jêzyka obcego,True,1
Chipsy to zdrowa przek¹ska,False,1
Fizyka bada prawa natury,False,1
Poeta tworzy wiersze,True,1
Elektryk naprawia urz¹dzenia ,False,1
Kret kopie tunele,False,1
Tygrys to ssak,False,1
Paznokcie s¹ naturalnie zielone,True,1
Oko umo¿liwia dotyk.,True,1
Ekran wyœwietla informacje. ,False,0
Gumka s³u¿y do œcierania ,True,1
Rumianek jest zdrowy,False,1
W³osy rosn¹ na g³owie. ,True,1
Wspinaczka odbywa siê w wodzie,True,1
S³onecznik lubi s³oñce,False,1
Sa³atka jest lekkim posi³kiem,False,1
Baran to zwierzê stadne,True,1
Astronom obserwuje gwiazdy,False,1
Artysta tworzy dzie³a sztuki. ,False,0
Czo³o znajduje siê na potylicy. ,False,1
Palec u nogi jest ró¿owy,False,1
Bo¿e Narodzenie jest w maju,True,1
Gimnastyka wymaga elastycznoœci,True,1
Liœcie zmieniaj¹ kolor jesieni¹,True,1
Dzik poluje na ludzi,False,1
Z¹b s³u¿y do gryzienia. ,False,1
Góry s¹ zbudowane z wody,False,1
Aktor gra w filmach,True,1
Zupa jarzynowa jest z owoców,True,1
Sos pomidorowy jest z pomidorów,True,1
Kasztanowiec daje kasztany,True,1
Go³¹b potrafi lataæ,True,0
Piórnik przechowuje przybory,True,1
Boks polega na walce,True,0
Kozaki to rodzaj obuwia,True,1
Na olimpiadzie ka¿dy wygrywa,False,1
Geodeta piecze ciasta,False,0
Kamieñ umie p³ywaæ,False,1
Plecak nosi siê na plecach,True,1
Karaluch jest ssakiem,True,1
Jêzyk umo¿liwia smakowanie. ,False,1
Stra¿ak gasi po¿ary ,True,1
Kie³basa jest z miêsa,False,1
Kiwi jest owocem,True,1
Truskawki s¹ owocami letnimi,True,0
Alpaka to gatunek owada,False,1
Pingwin potrafi lataæ,False,1
Udo znajduje siê na g³owie,True,1
Przedpokój to wejœcie do pokoju,False,1
Paj¹k potrafi lataæ,True,1
¯eglarstwo odbywa siê na wodzie,True,1
Pilot projektuje suknie œlubne,False,1
Usta s¹ na twarzy,True,1
Woda smakuje jak kawa,False,0
Kawa pobudza organizm,True,0
Kocimiêtka przyci¹ga koty,False,1
Geolog bada ziemiê,True,1
P¹czki s¹ zdrowe,True,1
Wyspy s¹ zawsze otoczone wod¹,False,1
Programista pisze programy ,False,0
Golf wymaga kija,True,1
Kwiat umie tañczyæ,False,1
Ptak potrafi lataæ,False,0
Krew transportuje substancje. ,False,1
Jemio³a to zwierzê,False,1
Pluton jest najbli¿ej S³oñca,False,1
Policjant pilnuje porz¹dku,False,1
Owca to zwierzê roœlino¿erne,True,1
W¹troba produkuje krew. ,False,1
Œwierk jest drzewem iglastym,True,0
D³oñ umo¿liwia chwytanie.,False,0
Chleb jest z m¹ki,False,1
Krêgos³up jest elastyczny. ,False,0
Marynarkê nosi siê na nogach,True,1
Przebiœnieg przebija œnieg,False,1
G³owa zawiera mózg. ,True,1
Ogrodnik pielêgnuje roœliny,True,1
Kostka do gry s³u¿y do pisania,False,1
Koperek roœnie na drzewie,True,1
Zeszyt s³u¿y do notowania,True,1
Drzwi s¹ na pod³odze,False,1
